Vehicle ID,motor_cycle,truck_small,truck_large,bus,taxi,bicycle,scooter,pedestrian,inanimate,train,tram,vehicle_other,Driver_id
A-744923,1,0,0,0,0,0,0,0,2,0,0,0,1068095
A-744924,0,0,0,0,0,0,1,0,1,0,0,0,1067182
A-744925,0,0,0,1,0,0,0,0,0,0,0,0,822464
A-744926,1,0,0,0,0,0,0,0,0,0,0,0,1063526
A-744927,0,0,0,0,0,0,0,2,0,0,0,0,1068091
A-744928,0,0,0,0,0,0,1,0,0,0,0,0,1068090
A-744929,0,0,1,0,0,0,0,0,0,0,0,0,1068082
A-744930,0,0,0,0,0,0,0,0,0,0,0,0,1068078
A-744931,0,0,0,0,0,0,0,0,0,0,0,1,1057633
A-744932,0,0,0,0,0,0,0,0,0,0,0,0,1046204
A-744933,0,0,0,0,0,0,0,2,1,0,0,0,1067794
A-744934,0,0,0,0,0,0,0,0,0,0,0,1,1067816
A-744935,0,0,0,0,0,0,0,1,0,0,0,0,1068018
A-744936,0,0,0,0,0,0,0,0,0,0,0,0,1052996
A-744937,0,0,0,0,0,0,0,0,0,0,0,0,1067818
A-744938,0,0,1,0,0,0,0,0,1,0,0,0,1064842
A-744939,0,0,0,2,0,0,0,0,0,0,0,0,1067109
A-744940,0,0,1,0,1,0,0,0,0,0,0,0,1067971
A-744941,0,0,0,0,0,2,0,0,1,0,0,0,1057518
A-744942,0,0,0,0,0,0,0,0,0,0,0,0,1067473
A-744943,0,0,1,0,0,0,0,0,1,0,0,0,1062177
A-744944,0,0,0,0,0,0,0,0,0,0,0,0,1067447
A-744945,0,0,0,0,0,0,0,2,1,0,0,0,1059412
A-744946,0,0,2,0,0,0,0,0,0,0,0,0,1062608
A-744947,0,0,0,1,0,1,0,0,0,0,0,0,1067664
A-744948,1,0,0,0,0,0,0,0,0,0,0,0,1067441
A-744949,0,0,1,0,0,0,0,0,0,0,0,0,1067654
A-744950,0,0,0,1,0,0,0,0,1,0,0,0,1067644
A-744951,0,0,0,0,0,0,0,0,2,0,0,0,1062288
A-744952,0,0,2,0,0,0,0,0,0,0,0,0,1067434
A-744953,0,0,1,0,0,0,0,0,0,0,0,0,1067419
A-744954,0,0,0,0,0,0,0,0,1,0,0,0,1067601
A-744955,0,0,0,0,0,0,0,0,0,0,0,0,1067579
A-744956,1,0,0,0,0,0,0,0,0,0,0,0,1067563
A-744957,1,0,0,0,0,0,0,0,0,0,0,1,1067364
A-744958,0,0,0,0,1,0,0,0,0,0,0,0,1067152
A-744959,1,0,0,0,0,0,0,0,0,0,0,0,1062471
A-744960,0,0,0,0,0,0,0,0,1,0,0,0,1066842
A-744961,0,0,0,0,0,0,0,0,0,0,0,0,1067126
A-744962,0,0,0,0,0,0,0,0,0,0,0,1,1067326
A-744963,0,0,1,0,0,0,0,0,0,0,0,0,1066789
A-744964,0,0,0,0,0,0,0,0,1,0,0,0,1067324
A-744965,0,0,0,0,0,0,0,0,0,0,0,0,1067102
A-744966,0,0,0,0,0,0,0,0,1,0,0,1,1046969
A-744967,0,0,0,0,1,0,0,0,0,0,0,0,1067084
A-744968,1,0,1,0,0,0,0,0,0,0,0,0,1067090
A-744969,0,0,0,0,0,0,0,0,3,0,0,0,1060875
A-744970,0,1,1,0,0,0,0,0,0,0,0,0,1067265
A-744971,0,0,0,0,1,0,0,0,1,0,0,0,1067287
A-744972,0,0,0,0,0,0,0,1,0,0,0,0,1067066
A-744973,0,0,0,0,0,1,0,0,0,0,0,0,1067283
A-744974,0,0,0,0,0,0,0,0,0,0,0,0,1067266
A-744975,0,0,1,0,0,0,0,0,0,0,0,0,1066635
A-744976,1,0,0,0,0,0,0,0,2,0,0,0,1067026
A-744977,0,0,0,0,0,0,0,0,0,0,0,0,1067038
A-744978,0,0,0,0,0,0,0,0,0,0,0,0,1067030
A-744979,0,0,0,1,0,0,0,0,0,0,0,0,1065350
A-744980,0,0,0,0,0,1,0,0,0,0,0,0,1067028
A-744981,0,0,1,0,0,0,0,0,1,0,0,0,1061877
A-744982,0,0,0,0,0,0,0,0,1,0,0,0,1067018
A-744983,0,0,0,0,0,0,0,0,0,0,0,1,1067223
A-744984,0,0,0,0,0,0,0,0,0,0,0,1,1067004
A-744985,0,0,0,0,1,0,0,0,0,0,0,0,1031265
A-744986,0,0,0,0,1,0,0,0,0,0,0,0,1066835
A-744987,0,0,0,0,0,0,0,0,0,0,0,0,1067181
A-744988,0,0,0,0,0,0,0,2,0,0,0,0,1067179
A-744989,0,0,1,0,0,0,0,0,1,0,0,1,1067172
A-744990,0,0,0,0,0,0,0,0,0,0,0,0,1066712
A-744991,0,0,0,0,0,0,0,0,2,0,0,1,1066706
A-744992,0,1,0,0,0,0,0,0,0,0,0,0,1066836
A-744993,0,0,0,0,0,0,0,0,0,0,0,0,1066826
A-744994,2,0,0,0,0,1,0,0,0,0,0,0,1063280
A-744995,0,0,1,0,0,0,0,0,0,0,0,0,1057447
A-744996,0,0,0,0,0,0,0,0,0,0,0,0,1040867
A-744997,0,0,0,0,0,0,0,0,4,0,0,0,1065232
A-744998,0,0,0,1,0,1,0,0,0,0,0,0,1052492
A-744999,0,0,0,2,0,0,0,0,0,0,0,0,1066664
A-745000,0,0,0,0,0,0,0,0,0,0,0,1,1066659
A-745001,0,0,0,0,0,2,0,0,0,0,0,0,1066763
A-745002,0,0,0,0,0,0,0,1,0,0,0,0,1066798
A-745003,0,0,0,0,0,0,0,0,0,0,0,0,1066639
A-745004,0,0,1,0,0,0,0,0,0,0,0,0,1066633
A-745005,0,0,0,0,0,0,1,0,0,0,0,0,1060644
A-745006,0,0,1,0,0,0,0,0,0,0,0,0,1066766
A-745007,0,0,0,1,0,0,0,0,0,0,0,0,1066613
A-745008,0,0,0,0,0,0,0,0,0,0,0,0,1065648
A-745009,0,1,0,0,0,0,0,0,0,0,0,0,1066768
A-745010,0,0,1,0,0,0,0,0,0,0,0,1,1066617
A-745011,0,0,0,0,0,0,0,0,0,1,0,0,1062015
A-745012,1,0,0,0,0,0,0,0,0,0,0,0,1066598
A-745013,0,0,0,0,0,0,0,0,5,0,0,0,1066503
A-745014,0,0,1,0,0,0,0,0,1,0,0,0,1066530
A-745015,0,0,0,0,0,0,0,0,1,0,0,0,1066520
A-745016,0,0,0,0,0,0,0,1,0,0,0,0,1065929
A-745017,0,0,0,0,0,0,0,0,3,0,0,0,1066582
A-745018,0,0,0,0,0,0,0,0,0,0,0,0,1066348
A-745019,0,0,0,0,0,0,0,0,0,0,0,0,1061430
A-745020,0,0,0,0,0,0,0,0,0,0,0,0,1061519
A-745021,0,0,0,1,0,0,0,0,0,0,0,0,1066344
A-745022,0,0,2,0,0,0,0,0,0,0,0,0,1066480
A-745023,0,0,0,1,0,0,0,0,0,0,0,0,1066471
A-745024,0,0,0,0,0,0,0,1,1,0,0,0,1064063
A-745025,0,1,0,0,0,0,0,0,1,0,0,0,1066318
A-745026,0,1,0,0,0,1,0,0,0,0,0,0,1066453
A-745027,0,0,0,1,0,0,0,0,0,0,0,0,1063090
A-745028,0,0,0,0,0,2,0,0,0,0,0,0,1061406
A-745029,1,0,0,0,0,1,0,0,0,0,0,0,1066278
A-745030,0,0,0,0,0,0,0,2,0,0,0,0,1066281
A-745031,0,0,0,0,0,0,0,0,1,0,0,1,1056150
A-745032,0,0,0,0,0,2,0,0,0,0,0,0,1066434
A-745033,0,0,0,0,0,0,0,0,0,0,0,1,1048526
A-745034,0,0,0,0,0,0,0,0,0,0,0,0,1028566
A-745035,0,0,0,0,0,1,0,1,0,0,0,0,1066424
A-745036,0,0,1,0,0,0,0,0,2,0,0,0,1066212
A-745037,0,0,0,0,0,4,0,0,0,0,0,0,1066232
A-745038,0,0,0,0,0,0,0,0,1,0,0,0,1056219
A-745039,0,0,0,0,1,0,0,0,0,0,0,1,1066199
A-745040,1,0,0,0,0,0,0,0,0,0,0,0,1060851
A-745041,0,0,0,0,0,0,0,0,0,0,0,1,972383
A-745042,0,0,0,0,0,0,0,0,3,0,0,0,1066191
A-745043,0,0,0,1,0,0,0,0,1,0,0,0,1066173
A-745044,1,0,0,0,0,0,0,1,0,0,0,0,1066379
A-745045,0,0,0,0,0,0,0,0,0,0,0,2,1066364
A-745046,0,1,0,0,0,0,0,0,2,0,0,0,1066140
A-745047,0,0,0,0,0,0,0,0,0,0,0,0,1066171
A-745048,0,0,0,0,0,0,0,0,0,0,0,0,1066162
A-745049,1,0,0,0,0,0,0,0,1,0,0,0,1040154
A-745050,2,0,0,0,0,0,0,0,1,0,0,1,1066155
A-745051,0,0,0,0,0,0,0,0,1,0,0,0,1065382
